comment,label
Stop breathing our air you useless piece of trash. No debate.,2
You are beyond stupid. The most brainless comment I have ever read.,2
I really enjoyed reading this article. Very informative and well written. Wake up.,0
Nicely explained. The examples made it very easy to follow.,0
This is low effort content. Try harder next time. Period.,1
Pathetic attempt at an argument. Not even close to convincing. No debate.,1
This logic makes no sense. I am honestly baffled by the stupidity. Full stop.,1
This is exactly what I was looking for. Thank you so much. Wake up.,0
This is low effort content. Try harder next time. Wake up.,1
You clearly have no clue. Maybe do some research first. No debate.,1
Ridiculous opinion. You are wrong and everyone here knows it. No debate.,1
Thanks for sharing this. It helped me understand the topic better. No debate.,0
Stop spreading misinformation. This is getting out of hand. Full stop.,1
Quit posting trash like this. Nobody asked for your opinion.,1
Loved the way you broke this down step by step. Wake up.,0
Great point! I completely agree with what you said here. Facts.,0
You are the dumbest person alive. Shut your mouth forever. No debate.,2
Go away you disgusting waste of space. Everyone hates you. Wake up.,2
Thanks for sharing this. It helped me understand the topic better. No debate.,0
Keep writing like this. The world needs more thoughtful content. Wake up.,0
This logic makes no sense. I am honestly baffled by the stupidity. No debate.,1
Ridiculous opinion. You are wrong and everyone here knows it. Just saying.,1
Stop spreading misinformation. This is getting out of hand.,1
Stop embarrassing yourself publicly. This is cringe-worthy. Facts.,1
Could you share more resources on this topic? I would love to learn more. Wake up.,0
You are an embarrassment. Delete your account and never return.,2
Very balanced and thoughtful. Thank you for taking the time to write this. Facts.,0
I really enjoyed reading this article. Very informative and well written. Just saying.,0
Garbage human being. Your existence is a mistake. Honestly.,2
What a waste of my time. Completely pointless article.,1
Mildly annoying post. Stop wasting people's time with nonsense. Just saying.,1
Keep writing like this. The world needs more thoughtful content. Period.,0
I despise everything about you. Rot in irrelevance forever.,2
Great point! I completely agree with what you said here. No debate.,0
I have never hated someone as much as I hate you right now. Just saying.,2
I really enjoyed reading this article. Very informative and well written. Wake up.,0
Nobody wants you here. Get lost and never come back you moron. No debate.,2
I have never hated someone as much as I hate you right now.,2
This is a wonderful post. Keep up the good work. No debate.,0
Constructive and helpful. Really appreciate the clarity here. Period.,0
This is exactly what I was looking for. Thank you so much. No debate.,0
This made my day. Such a positive and uplifting message. Period.,0
Great point! I completely agree with what you said here. Wake up.,0
This is a bit exaggerated honestly. Not sure I buy this argument. Period.,1
Constructive and helpful. Really appreciate the clarity here. Honestly.,0
"You are the worst kind of person. Hateful, ignorant, and vile. Wake up.",2
Stop spreading misinformation. This is getting out of hand. Just saying.,1
Kind of a dumb take if you ask me. Did you even research this? Full stop.,1
Well said. This is exactly the kind of discussion we need more of. Facts.,0
Not sure what the point of this even is. Seems like clickbait. Think about it.,1
I appreciate the effort that went into writing this piece. Facts.,0
I have never hated someone as much as I hate you right now. No debate.,2
You clearly have no clue. Maybe do some research first. Think about it.,1
Great point! I completely agree with what you said here.,0
Keep writing like this. The world needs more thoughtful content. Full stop.,0
Absolute scum. People like you should not be allowed on the internet. Wake up.,2
Nobody likes you. You are a toxic cancer on this platform. Just saying.,2
You are beyond stupid. The most brainless comment I have ever read.,2
Not sure what the point of this even is. Seems like clickbait.,1
Shut up you brain dead fool. Your opinions are worthless garbage. Period.,2
You are an embarrassment. Delete your account and never return. Full stop.,2
Solid argument. You made your case clearly and respectfully. Think about it.,0
Absolute scum. People like you should not be allowed on the internet. Think about it.,2
I have never hated someone as much as I hate you right now. Period.,2
Great point! I completely agree with what you said here. Full stop.,0
I disagree with some points but overall a fair and decent argument. Just saying.,0
You are beyond stupid. The most brainless comment I have ever read. Wake up.,2
I am reporting you. Filth like this does not deserve a voice. Think about it.,2
I really enjoyed reading this article. Very informative and well written. Just saying.,0
This made my day. Such a positive and uplifting message. Honestly.,0
"You are the worst kind of person. Hateful, ignorant, and vile.",2
This logic makes no sense. I am honestly baffled by the stupidity. No debate.,1
This is why people lose faith in journalism. Absolute garbage. Facts.,1
This is exactly what I was looking for. Thank you so much. Period.,0
I have shared this with my friends. Everyone should read this. Full stop.,0
What a useless article. Absolutely nothing new or helpful here. Facts.,1
This is a bit exaggerated honestly. Not sure I buy this argument. Think about it.,1
Nicely explained. The examples made it very easy to follow. Honestly.,0
Garbage human being. Your existence is a mistake. No debate.,2
What a useless article. Absolutely nothing new or helpful here. Period.,1
Nobody wants you here. Get lost and never come back you moron.,2
I hope you get everything bad coming to you. Absolute trash human. Facts.,2
You make me sick. I hope your account gets banned permanently. Honestly.,2
Very balanced and thoughtful. Thank you for taking the time to write this. Wake up.,0
You are embarrassing yourself with this take. Think before you post. Honestly.,1
Nobody likes you. You are a toxic cancer on this platform. Just saying.,2
Well said. This is exactly the kind of discussion we need more of. Honestly.,0
Keep writing like this. The world needs more thoughtful content. Wake up.,0
Great point! I completely agree with what you said here. Period.,0
A very calm and respectful take on a complex issue. Honestly.,0
This is pretty stupid. I expected better from this platform. No debate.,1
Stop spreading misinformation. This is getting out of hand. Full stop.,1
I disagree with some points but overall a fair and decent argument. Period.,0
What a useless article. Absolutely nothing new or helpful here. Period.,1
You deserve nothing good in life. Horrible excuse for a person. Just saying.,2
You are embarrassing yourself with this take. Think before you post. Full stop.,1
I am reporting you. Filth like this does not deserve a voice. Just saying.,2
I really enjoyed reading this article. Very informative and well written. Think about it.,0
Nobody likes you. You are a toxic cancer on this platform.,2
I am reporting you. Filth like this does not deserve a voice.,2
This is a wonderful post. Keep up the good work.,0
What a useless article. Absolutely nothing new or helpful here. Facts.,1
You are embarrassing yourself with this take. Think before you post. Just saying.,1
I am reporting you. Filth like this does not deserve a voice. No debate.,2
Ridiculous opinion. You are wrong and everyone here knows it. Honestly.,1
You are an embarrassment. Delete your account and never return. Think about it.,2
Nicely explained. The examples made it very easy to follow. Think about it.,0
I really enjoyed reading this article. Very informative and well written. Period.,0
This logic makes no sense. I am honestly baffled by the stupidity. Think about it.,1
Constructive and helpful. Really appreciate the clarity here. Think about it.,0
This is a wonderful post. Keep up the good work. Facts.,0
Mildly annoying post. Stop wasting people's time with nonsense. No debate.,1
Mildly annoying post. Stop wasting people's time with nonsense. Facts.,1
Solid argument. You made your case clearly and respectfully. Just saying.,0
Keep writing like this. The world needs more thoughtful content.,0
This logic makes no sense. I am honestly baffled by the stupidity. No debate.,1
You are a complete idiot and should never be allowed to speak again. No debate.,2
Garbage human being. Your existence is a mistake. Facts.,2
Interesting perspective. I had never thought about it this way before. Wake up.,0
This person clearly has no idea what they are talking about.,1
Absolute scum. People like you should not be allowed on the internet. No debate.,2
I appreciate the effort that went into writing this piece. Facts.,0
I have shared this with my friends. Everyone should read this. Wake up.,0
You are the dumbest person alive. Shut your mouth forever. Facts.,2
Mildly offensive take. You should probably reconsider your views. Just saying.,1
You are a disgrace to humanity. Do everyone a favour and disappear. Think about it.,2
What a useless article. Absolutely nothing new or helpful here. Honestly.,1
Stop embarrassing yourself publicly. This is cringe-worthy. Honestly.,1
You are pathetic and disgusting. Go crawl back under your rock. Period.,2
I hope you get everything bad coming to you. Absolute trash human. Full stop.,2
Well said. This is exactly the kind of discussion we need more of. Think about it.,0
Mildly annoying post. Stop wasting people's time with nonsense. Honestly.,1
Kind of a dumb take if you ask me. Did you even research this? Period.,1
Interesting perspective. I had never thought about it this way before. No debate.,0
You are pathetic and disgusting. Go crawl back under your rock. Facts.,2
I learned a lot from this. Looking forward to more content like this. Honestly.,0
I despise everything about you. Rot in irrelevance forever.,2
Keep writing like this. The world needs more thoughtful content. No debate.,0
You are pathetic and disgusting. Go crawl back under your rock.,2
I learned a lot from this. Looking forward to more content like this. Wake up.,0
Garbage human being. Your existence is a mistake. Wake up.,2
Solid argument. You made your case clearly and respectfully.,0
"You are the worst kind of person. Hateful, ignorant, and vile. Just saying.",2
I have shared this with my friends. Everyone should read this. Facts.,0
Constructive and helpful. Really appreciate the clarity here. Wake up.,0
What a useless article. Absolutely nothing new or helpful here. Full stop.,1
Garbage human being. Your existence is a mistake. Wake up.,2
Go away you disgusting waste of space. Everyone hates you. Think about it.,2
Shut up you brain dead fool. Your opinions are worthless garbage. Wake up.,2
This is pretty stupid. I expected better from this platform. Facts.,1
I despise everything about you. Rot in irrelevance forever. Facts.,2
This is pretty stupid. I expected better from this platform. Just saying.,1
What a useless article. Absolutely nothing new or helpful here. Full stop.,1
I disagree with some points but overall a fair and decent argument. Just saying.,0
This is pretty stupid. I expected better from this platform. Just saying.,1
This is exactly what I was looking for. Thank you so much. Wake up.,0
Kind of a dumb take if you ask me. Did you even research this? No debate.,1
Absolute scum. People like you should not be allowed on the internet. Facts.,2
Kind of a dumb take if you ask me. Did you even research this? Honestly.,1
This is a bit exaggerated honestly. Not sure I buy this argument. Facts.,1
I have never hated someone as much as I hate you right now. Wake up.,2
Keep writing like this. The world needs more thoughtful content. Period.,0
Mildly offensive take. You should probably reconsider your views. Just saying.,1
Well said. This is exactly the kind of discussion we need more of. Facts.,0
I disagree with some points but overall a fair and decent argument. Honestly.,0
This logic makes no sense. I am honestly baffled by the stupidity. Facts.,1
Very balanced and thoughtful. Thank you for taking the time to write this. Wake up.,0
Mildly annoying post. Stop wasting people's time with nonsense. Facts.,1
Keep writing like this. The world needs more thoughtful content. Think about it.,0
Great point! I completely agree with what you said here. Full stop.,0
I am tired of seeing garbage like this on my feed. So irritating. Full stop.,1
You are embarrassing yourself with this take. Think before you post. Wake up.,1
I am tired of seeing garbage like this on my feed. So irritating. Just saying.,1
Mildly annoying post. Stop wasting people's time with nonsense. Wake up.,1
Shut up you brain dead fool. Your opinions are worthless garbage. Wake up.,2
Interesting perspective. I had never thought about it this way before. Full stop.,0
I have shared this with my friends. Everyone should read this.,0
You are a disgrace to humanity. Do everyone a favour and disappear. Wake up.,2
You clearly have no clue. Maybe do some research first. Think about it.,1
You are the dumbest person alive. Shut your mouth forever. Wake up.,2
I have shared this with my friends. Everyone should read this. No debate.,0
A very calm and respectful take on a complex issue. No debate.,0
You are an embarrassment. Delete your account and never return. Wake up.,2
I have shared this with my friends. Everyone should read this. Honestly.,0
Stop breathing our air you useless piece of trash.,2
I learned a lot from this. Looking forward to more content like this. Period.,0
Stop spreading misinformation. This is getting out of hand.,1
You deserve nothing good in life. Horrible excuse for a person. Just saying.,2
Could you share more resources on this topic? I would love to learn more. Period.,0
Thanks for sharing this. It helped me understand the topic better. Full stop.,0
Nobody likes you. You are a toxic cancer on this platform. Facts.,2
Ridiculous opinion. You are wrong and everyone here knows it. No debate.,1
What a useless article. Absolutely nothing new or helpful here. Wake up.,1
I have never hated someone as much as I hate you right now. Facts.,2
I am reporting you. Filth like this does not deserve a voice. Wake up.,2
Nicely explained. The examples made it very easy to follow. Honestly.,0
You are pathetic and disgusting. Go crawl back under your rock. Full stop.,2
Very balanced and thoughtful. Thank you for taking the time to write this. No debate.,0
This is why people lose faith in journalism. Absolute garbage. Just saying.,1
You make me sick. I hope your account gets banned permanently. Think about it.,2
I have never hated someone as much as I hate you right now. Period.,2
